06046AA003810A;"STRUCTURE MULTI  ACCUEIL INTERCOMMUNALE ""LES P'TITS BOUTS""";CRECHE FAMILIALE;6046;PETITE ENFANCE;"{""type"": ""Point"", ""coordinates"": [7.22080432, 43.7588074]}"
06088AD01152D;ANTENNE ARBRE BLEU;SERVICE D'ACCUEIL FAMILIAL;6088;PETITE ENFANCE;"{""type"": ""Point"", ""coordinates"": [7.20049649, 43.68473515]}"
06088AP070460B;LA MANTEGA;CENTRE MULTI ACCUEIL;6088;PETITE ENFANCE;"{""type"": ""Point"", ""coordinates"": [7.24881874, 43.71139881]}"
06088AT015412A;VILLA ISABELLE;CENTRE MULTI ACCUEIL;6088;PETITE ENFANCE;"{""type"": ""Point"", ""coordinates"": [7.26032855, 43.71112177]}"
06088AG00883B;LA MAISON DES PARENTS ET DES ENFANTS;ETABLISSEMENT;6088;PETITE ENFANCE;"{""type"": ""Point"", ""coordinates"": [7.27178656, 43.70295442]}"
06088AS013230A;CRECHE LES PETITES BULLES;"ETABLISSEMENT MIXTE ""VILLE-ENTREPRISES""";6088;PETITE ENFANCE;"{""type"": ""Point"", ""coordinates"": [7.21182119, 43.67485231]}"
06088AP00227A;JARDIN D'ENFANT PRIVE - LE SOLEIL;ETABLISSEMENT NON MUNICIPAL;6088;PETITE ENFANCE;"{""type"": ""Point"", ""coordinates"": [7.23442053, 43.68964723]}"
06088BA02780A;CRECHE ROSE DE FRANCE;ETABLISSEMENT NON MUNICIPAL;6088;PETITE ENFANCE;"{""type"": ""Point"", ""coordinates"": [7.22616039, 43.67796452]}"
06073AA004923A;LES PITCHOUNS;CRECHE FAMILIALE;6073;PETITE ENFANCE;"{""type"": ""Point"", ""coordinates"": [7.05005248, 44.18614304]}"
06088AD055012A;RELAIS PAEZ;RELAIS PETITE ENFANCE;6088;PETITE ENFANCE;"{""type"": ""Point"", ""coordinates"": [7.21946912, 43.6708163]}"
06066AA00470A;MICROCRECHE COMMUNALE LES PETITES SOLEILS;CRECHE FAMILIALE;6066;PETITE ENFANCE;"{""type"": ""Point"", ""coordinates"": [7.16321268, 43.84944288]}"
06065AA01142210A;CRECHE ESPACE-MOMES;CRECHE FAMILIALE;6065;PETITE ENFANCE;"{""type"": ""Point"", ""coordinates"": [7.16705424, 43.72232473]}"
06123AA001183A;CRECHE LOU NISTOU;CRECHE FAMILIALE;6123;PETITE ENFANCE;"{""type"": ""Point"", ""coordinates"": [7.18278687, 43.68519168]}"
06059AA0018690BISA;MULTI ACCUEIL INTERCOMMUNALE CRECHE HALTE GARDERIE;CRECHE FAMILIALE;6059;PETITE ENFANCE;"{""type"": ""Point"", ""coordinates"": [7.35555903, 43.7334144]}"
06088AF049513B;LES IRIS;CENTRE MULTI ACCUEIL;6088;PETITE ENFANCE;"{""type"": ""Point"", ""coordinates"": [7.29076946, 43.71450726]}"
06088AM01572C;LA FARANDOLE;CENTRE MULTI ACCUEIL;6088;PETITE ENFANCE;"{""type"": ""Point"", ""coordinates"": [7.2071573, 43.67273197]}"
